"","auc_cat","ppv_cat","npv_cat","sens_cat","spec_cat","mean_ppv_cat","mean_npv_cat","true_negative_cat","false_negative_cat","false_positive_cat","true_positive_cat","mean_sens_cat","mean_spec_cat","mean_npv_cat","med_true_pos","med_false_pos","med_true_negs","med_false_negs","mean_auc_cat"
"43",0.918831168831168,0.85,0.961038961038961,0.85,0.961038961038961,NA,NA,74,3,3,17,NA,NA,NA,NA,NA,NA,NA,NA
"44",0.915343915343916,0.84,0.916666666666667,0.777777777777778,0.942857142857143,NA,NA,66,6,4,21,NA,NA,NA,NA,NA,NA,NA,NA
"45",0.95609756097561,0.777777777777778,0.987341772151899,0.933333333333333,0.951219512195122,NA,NA,78,1,4,14,NA,NA,NA,NA,NA,NA,NA,NA
"46",0.918546365914788,0.809523809523809,0.947368421052632,0.80952380952381,0.947368421052632,NA,NA,72,4,4,17,NA,NA,NA,NA,NA,NA,NA,NA
"47",0.969907407407407,0.875,0.975308641975309,0.875,0.975308641975309,NA,NA,79,2,2,14,NA,NA,NA,NA,NA,NA,NA,NA
"48",0.849507735583684,0.722222222222222,0.936708860759494,0.722222222222222,0.936708860759494,NA,NA,74,5,5,13,NA,NA,NA,NA,NA,NA,NA,NA
"49",0.919230769230769,0.8,0.935483870967742,0.875,0.892307692307692,NA,NA,58,4,7,28,NA,NA,NA,NA,NA,NA,NA,NA
"50",0.900684931506849,0.740740740740741,0.942857142857143,0.833333333333333,0.904109589041096,NA,NA,66,4,7,20,NA,NA,NA,NA,NA,NA,NA,NA
"51",0.919172932330828,0.809523809523809,0.947368421052632,0.80952380952381,0.947368421052632,NA,NA,72,4,4,17,NA,NA,NA,NA,NA,NA,NA,NA
"52",0.962984723854289,0.826086956521739,0.945945945945946,0.826086956521739,0.945945945945946,NA,NA,70,4,4,19,NA,NA,NA,NA,NA,NA,NA,NA
"53",0.938311688311687,0.842105263157895,0.948717948717949,0.8,0.961038961038961,NA,NA,74,4,3,16,NA,NA,NA,NA,NA,NA,NA,NA
"54",0.935956790123457,0.736842105263158,0.974358974358974,0.875,0.938271604938272,NA,NA,76,2,5,14,NA,NA,NA,NA,NA,NA,NA,NA
"55",0.814705882352942,0.722222222222222,0.949367088607595,0.764705882352941,0.9375,NA,NA,75,4,5,13,NA,NA,NA,NA,NA,NA,NA,NA
"56",0.848529411764706,0.56,0.958333333333333,0.823529411764706,0.8625,NA,NA,69,3,11,14,NA,NA,NA,NA,NA,NA,NA,NA
"57",0.888185654008439,0.7,0.948051948051948,0.777777777777778,0.924050632911392,NA,NA,73,4,6,14,NA,NA,NA,NA,NA,NA,NA,NA
